age,Occupation,purchase_1,purchase_2,purchase_3,purchase_4,purchase_5
51,18,3141,9677,973,10979,6433
43,2,3711,2866,2271,8249,8221
53,16,1755,3008,1686,9425,3737
23,4,1476,3504,1498,6832,3801
63,2,1775,7076,620,1658,8830
40,10,872,9579,677,14794,13136
51,20,2896,3763,1775,11214,6046
17,10,2740,2744,776,23351,11015
61,2,2436,4796,932,11055,9444
49,11,1401,3343,1226,8915,9167
57,18,4800,7319,538,17897,19
54,6,2265,820,2295,11217,9539
38,13,2336,613,1935,6365,9914
25,2,704,4838,1830,24945,6802
27,17,4613,516,1067,18440,12791
41,16,96,2625,1624,20091,9663
38,7,330,6915,1687,19234,9201
64,10,4231,7655,495,12300,12052
30,8,928,3056,2246,20443,4420
34,3,1355,2718,212,12851,1088
66,14,4182,1185,1159,8733,14971
41,10,921,3206,1655,132,6429
44,13,2074,1810,1240,23164,6481
59,20,4655,6319,1386,13798,2062
47,9,672,8164,1970,1418,3199
16,8,1081,3144,1645,23332,11092
39,7,7,779,1519,11835,5813
38,14,1789,7629,847,24692,11823
40,4,2048,8549,2276,8809,9745
26,7,1939,5293,1503,3849,9781
50,1,2471,1033,428,14347,14886
67,1,318,4863,1006,13547,6791
24,19,3161,1590,865,6703,12740
23,9,2566,9111,1359,19426,10407
41,19,2069,7194,671,9450,6171
39,11,4748,9191,1844,20776,7664
42,12,4376,1330,2290,5599,6635
27,6,1712,7657,1429,12974,1479
52,2,2116,3627,1752,1595,9575
29,9,4504,5283,1225,18717,8720
30,18,2049,159,931,4691,5430
41,17,1012,6828,1808,10644,13884
66,17,4471,1035,273,10623,5238
34,4,2580,2528,1355,14017,8455
69,10,1328,9660,413,16145,12785
48,11,2363,9886,1569,9556,11652
31,5,383,4870,266,7988,8011
46,4,568,6620,132,12736,926
26,5,3659,3987,2310,7452,1355
24,12,19,8815,268,17768,6491
50,3,2441,2012,1370,8829,9064
53,17,875,3199,1622,16721,3928
24,10,779,654,167,6295,13529
36,3,2031,3528,167,17771,10151
25,6,2169,4076,613,9242,8950
43,2,2767,4636,1221,14191,13093
70,6,445,9980,1705,7651,3822
59,5,576,3629,1266,15008,6481
68,20,170,6685,1043,5471,7729
17,6,4398,336,1978,23060,8659
55,12,4056,3297,2305,1487,3414
18,16,2601,3488,626,11732,11822
54,19,2239,7834,896,22600,10627
58,14,1335,5477,2482,1104,8748
29,15,4210,6985,2038,16517,13729
16,6,3767,1260,1682,19758,12540
65,9,680,374,2472,18853,4035
56,19,4156,7867,447,3481,13822
18,7,4776,9592,2218,1557,4422
34,3,401,5162,1750,12701,9877
42,11,1932,7906,2213,7595,11369
58,8,2373,9407,867,7741,11502
34,17,4935,8575,448,8714,911
50,3,4296,5079,1309,24481,11437
53,13,2742,8752,647,9632,12403
68,15,4338,7476,169,2772,2990
20,19,4445,5672,2062,10245,10038
49,3,835,6118,1826,14753,6406
70,16,4031,2966,2129,12684,3343
64,5,4986,9213,1660,18695,4457
30,6,611,7304,1773,24298,2282
56,20,3183,3542,84,18219,2113
70,6,18,7871,2084,13172,10844
47,1,4925,1184,1584,23933,4873
67,15,4652,8341,2329,19708,2701
37,8,3146,5406,933,22119,1037
45,5,238,7965,527,21238,1257
36,12,1226,7192,331,8277,3444
50,15,4414,5193,486,2318,8335
65,13,1957,4696,2378,11294,1102
50,18,2303,2324,1183,14132,5113
70,2,3273,97,2278,15630,12025
22,16,4074,2320,4,5766,1258
37,8,2878,8281,1817,14865,3939
29,13,4895,4013,2485,23603,3859
17,5,116,8900,1415,16059,12679
20,13,880,1913,2250,7400,5970
57,11,3577,1067,1894,11973,270
16,9,986,807,690,3682,5754
26,12,1462,9220,775,9948,4181
18,19,927,7112,491,16294,14877
57,19,4983,9260,1861,9321,6405
38,9,4887,4979,2276,5795,4995
62,4,4184,7949,1678,17665,3162
41,2,2764,9903,1530,15449,13658
30,19,104,2582,263,136,11948
61,9,3042,3398,2392,673,10762
30,1,631,3297,367,919,14617
69,2,136,651,684,9776,2274
67,16,546,230,1612,17038,7036
24,3,4947,8690,1237,1280,14261
25,3,179,1062,264,7508,9098
48,12,199,8384,2252,9473,4175
59,12,1965,8519,103,15588,1995
67,17,566,2935,2003,17403,6512
36,16,4843,7711,1400,399,3644
37,17,4149,4485,497,15599,11098
58,3,2625,800,1471,4456,5423
47,10,2068,9754,1981,4736,8853
47,17,3685,7237,8,23776,14528
55,6,209,339,2129,21050,9582
44,18,2546,4332,376,12143,11460
67,11,2337,198,2181,15734,648
48,19,4258,7403,2305,18018,6536
39,2,318,4613,323,11174,5751
17,7,1136,921,1103,14237,414
54,5,3485,7142,800,11624,6752
34,18,1812,4070,1354,23008,11271
23,5,4426,3884,1645,1043,9596
39,1,1641,4508,2483,13196,2223
68,6,4054,3951,2257,3345,5841
63,16,3121,6237,2031,23573,11719
19,1,22,2642,2312,4978,11057
59,7,3603,973,1295,9432,2912
64,15,1817,806,888,10700,4412
37,19,2686,6430,1583,4691,8982
69,12,521,5384,680,22112,9567
31,4,2639,7657,1504,7760,13917
34,12,2418,702,2126,7496,2687
18,4,4110,2082,1235,5146,766
24,3,2384,5798,713,16749,12012
38,12,2932,3209,1137,10034,2110
20,17,3238,6090,342,16837,12819
68,15,3150,6410,826,15853,10706
23,12,3240,1285,2064,15241,5961
27,13,1214,8607,1800,5114,891
20,14,1597,300,2451,20923,1107
17,11,4655,6093,504,4090,4631
19,2,2669,5398,1274,2243,9797
55,13,3579,8179,1327,20853,8305
41,13,2839,7094,802,11376,1745
52,3,1982,9080,1989,18078,3367
70,1,1048,379,1597,6626,8972
41,19,1465,1008,549,3202,10830
54,5,3202,3427,640,24740,14766
39,3,4724,1876,1666,12385,12642
26,17,3796,2329,1041,20145,4987
65,14,3505,8463,1944,17913,12983
62,19,2311,7817,861,1894,8333
19,4,4135,7289,1614,6073,7006
35,13,34,2457,159,20728,7232
66,4,115,2171,1305,8386,8568
63,4,517,1904,1258,20250,3585
64,19,659,1621,688,23274,1382
46,9,2617,9058,449,4679,1652
34,10,2972,1702,56,7294,10909
23,12,4549,8492,250,2521,10402
50,17,366,8421,1908,15307,11258
43,17,4579,7390,1881,1959,13607
34,12,1091,9418,1293,23500,4073
30,3,100,858,862,8833,8172
24,12,381,9366,1583,23925,4386
24,3,4020,841,990,9941,2692
51,19,213,1917,798,17631,2782
21,3,2514,186,1784,12545,5226
70,12,3032,3522,268,5407,2913
27,9,3644,7131,1228,20913,3950
43,12,4271,8814,1552,19770,6662
52,4,1810,3235,2036,23772,11978
69,12,3745,7339,1539,24705,4236
20,7,343,5103,1695,6015,11904
30,15,3983,2534,237,17632,8069
34,12,1162,8397,1804,13819,2370
41,12,4649,7452,387,20894,8659
26,19,4709,8047,1991,14785,11977
59,4,922,9442,902,21442,6099
66,12,319,6789,1215,19364,11723
57,10,1984,9227,2176,5516,1267
50,1,3983,106,389,14850,13514
53,7,669,9292,254,12306,12392
24,12,632,4458,1074,2235,12608
63,17,3141,7444,2498,20966,7567
46,8,22,534,1862,19327,11620
23,15,1441,233,1989,19170,1942
44,14,3204,9623,2080,18754,7078
63,8,3306,6279,688,1203,14109
29,9,918,2951,2499,16932,5879
69,8,2545,5198,975,5477,2503
62,19,252,8922,2019,13225,11212
56,10,1094,6311,893,15144,6761
39,6,747,8399,272,24169,13608
45,8,94,838,1123,19958,14745
18,15,117,6032,1706,4025,490
22,9,3835,9124,529,7666,2663
17,1,1303,447,538,14503,5424
30,14,3181,9717,2365,15318,3948
36,2,3472,5373,2051,24245,5571
68,17,4963,4950,2196,9247,11817
60,1,4626,823,134,2029,14223
53,16,284,9344,43,8590,12854
46,2,143,8849,81,24474,10817
70,20,2806,9246,1668,17206,4521
34,10,815,5184,2063,6262,13138
49,3,4524,2909,992,20182,7498
20,19,82,632,1023,15783,3076
69,11,4659,2864,347,8023,13163
38,3,3094,1735,1624,7259,4318
61,17,4832,610,10,8027,3250
52,16,1412,7368,1381,11546,12232
61,18,4920,3917,301,10965,13869
42,4,3385,683,1890,15112,10683
45,13,2866,2795,495,163,13753
38,19,2390,3660,575,4744,3836
29,5,4230,7026,2405,4201,8250
19,8,1612,810,504,5020,3115
37,11,3696,6030,923,5849,9357
52,15,1450,7150,903,1841,13852
61,19,841,8407,1749,4735,2720
23,17,2453,1334,2138,24017,9047
69,4,1108,805,2275,18941,11874
40,4,4477,5728,806,18034,12533
48,4,246,4505,790,7523,7201
44,3,1083,7633,674,4999,2604
55,3,1464,6130,2275,21302,10303
56,11,1595,6213,407,4651,9148
16,6,3812,8844,307,7793,6361
36,3,4343,6388,1441,2888,7136
31,1,3463,2044,910,20071,13424
68,5,3886,7805,999,3378,8253
46,13,1606,484,1903,18205,11853
36,13,3987,9253,1708,12984,6998
30,6,2200,5827,1340,20413,7560
26,20,1079,6636,620,11015,14766
66,18,1888,1687,664,3408,12316
41,11,344,2038,848,24509,909
21,4,3713,4896,1453,7175,10340
59,10,2845,2632,560,6569,5179
36,6,2110,5938,679,6980,1569
59,6,2013,3537,1388,17457,8080
67,7,758,9263,1561,7018,4953
21,7,3784,2866,2446,16893,3657
62,18,267,6785,1087,10205,3294
66,15,2762,4584,924,3020,5314
21,17,278,6879,1295,5139,3946
68,10,4470,2541,2166,7959,33
43,8,238,3377,970,3442,8702
54,20,3675,8663,1241,5458,75
60,10,4305,6742,1958,11828,867
26,12,4626,933,2327,18714,10394
25,10,4724,7653,450,15404,756
47,16,2931,4121,761,2,5371
57,9,3356,8405,2339,24214,7799
51,14,1744,6488,1206,4872,13394
34,8,3165,4562,1692,19416,11192
60,16,3910,2189,2076,24741,2948
59,18,4269,1535,231,3138,4547
40,8,4277,7531,566,8720,8037
25,13,503,7182,1922,12818,5464
26,12,556,3471,1752,22598,8081
41,16,964,5175,709,6757,6973
44,17,893,6658,1293,21318,8207
52,16,837,1742,1425,19478,12270
36,20,181,4373,1557,1531,13575
69,17,4245,6650,479,19378,12994
46,3,239,504,938,9904,1720
27,16,3283,7237,368,17438,2452
48,3,589,5031,94,8514,6673
35,17,2799,7930,1405,4812,3135
18,11,707,6709,1391,19235,7022
36,19,787,1597,220,24582,6085
59,19,4032,4083,1623,14043,8205
60,16,2296,6495,1887,1090,11688
20,12,1836,9518,1845,8834,1326
36,10,1127,6865,260,22234,10388
51,15,73,8810,483,4602,4024
33,2,3770,8139,2361,21110,13538
16,3,1610,9249,1078,21040,10632
67,20,245,6587,1008,11105,8123
26,8,1787,6977,26,13073,6278
48,2,3599,250,1754,22309,12011
60,16,2272,4581,1580,6501,9007
63,7,4702,2840,2480,5562,12221
29,15,3819,4308,2085,955,2945
60,7,3407,270,1282,1267,7026
42,14,4363,2344,807,14007,9088
28,11,3172,4540,1247,16842,5795
50,15,2996,8407,2124,19502,7045
36,18,1426,3972,1710,5398,13656
18,4,2362,3403,2108,9053,1377
21,10,1122,4480,626,13271,11809
27,6,672,4709,214,23293,14119
26,15,20,3164,1256,6570,9499
38,14,226,9888,38,17828,6109
30,12,1283,4805,720,24137,715
38,12,2560,3265,1490,14339,10368
53,11,714,4724,2401,12510,866
20,2,2136,1501,1293,20977,882
35,5,2052,8343,461,17669,4731
64,16,3928,9250,2454,15602,14557
63,20,3843,7383,1088,11101,9946
22,11,1084,9779,141,16278,7308
66,13,1621,670,553,16302,12251
24,8,4719,6304,2343,17080,2330
38,18,4456,4160,1980,19449,2594
31,7,150,1768,748,12389,2884
29,18,3328,5149,1139,11729,2384
56,2,4874,4193,31,15436,3496
56,10,2953,3660,2354,23834,14205
30,11,3287,8471,1628,18872,1277
17,18,2211,943,449,21157,334
38,18,27,3223,924,5153,4391
24,16,3572,9294,708,8987,5825
65,2,4655,3265,1067,12056,8791
27,1,1242,5290,1510,21909,8985
52,17,767,3508,728,2515,7330
25,14,2600,7512,2270,7729,2244
50,10,4709,9452,804,11285,4651
70,4,1891,2196,2384,4118,12849
25,18,4380,3821,2310,18374,13243
60,16,4069,1519,1458,23877,11251
48,20,3716,6834,202,15716,11597
26,15,705,6295,2172,24547,4615
29,3,3853,6973,2121,17051,1031
41,1,1450,3849,1851,2978,14871
19,5,1180,4739,1287,21570,10207
30,1,171,1730,1902,20689,12495
40,12,2742,8185,1961,5240,12965
42,11,4369,2431,998,22061,10230
34,3,1348,4804,2496,6687,3370
56,11,1559,3533,853,15103,12160
51,9,468,7333,2315,6894,10644
47,7,1803,7903,1997,5618,13298
24,1,1206,2088,161,13739,2209
26,4,2236,8286,473,3650,3780
19,13,3638,8665,1418,17667,14150
67,8,4359,1597,1865,12336,6532
19,11,4336,7573,502,10777,1885
50,10,1493,4738,2155,24450,228
55,9,148,8599,219,24503,14208
46,19,332,4182,1882,20835,4756
19,10,211,3035,956,12361,10088
67,12,4622,3228,690,10115,3238
49,11,1595,7487,2076,23836,8827
63,3,4579,4977,1131,5880,4345
49,13,445,8037,491,9575,10922
68,9,656,9236,1935,21436,3134
28,16,658,2380,2282,19338,1577
46,8,3299,5749,605,2091,7854
25,18,152,23,1857,18017,10123
59,5,1439,7384,1292,7530,14844
68,19,3560,9483,1972,3695,13655
41,19,608,9444,2133,8493,2906
26,15,4630,9158,1899,7048,10036
49,4,1441,2441,1267,17798,2847
37,5,197,1328,2459,5394,2060
45,19,624,7730,1247,7070,5442
60,9,3862,9924,2252,941,6691
43,10,3794,6704,1207,16968,8548
44,2,990,3112,875,1345,14665
23,9,4243,8479,142,18305,7377
31,12,14,9544,1027,10917,8675
56,20,4201,3179,205,3353,4386
28,9,874,4275,1145,7837,12251
43,4,88,1700,497,13661,14418
19,2,843,9475,1840,23920,9456
36,18,1672,7733,8,21922,2428
35,20,368,2506,170,10231,10245
21,18,841,7684,432,3242,10971
51,1,3326,2717,1451,17620,3376
20,16,2093,6110,1773,16673,4281
16,11,2482,8466,114,6939,8515
58,3,1784,8675,1801,18194,9887
49,16,27,9155,688,23776,9370
65,7,3418,8186,2112,15031,8665
27,13,1791,9708,518,11038,8915
55,1,3150,3259,1624,19389,9566
45,16,3753,8501,44,13017,10921
55,8,4677,6286,1417,7393,9492
42,1,2080,7993,706,17577,3564
18,11,3515,8936,1446,23126,8397
43,9,1970,1104,533,16039,9483
42,10,2565,6527,2335,9828,14470
35,12,2616,3946,1247,10837,14442
27,20,2390,1546,1690,24641,11892
69,19,3672,4242,1597,4708,12849
21,4,1663,6024,1118,22992,1530
55,3,4957,5126,1652,2768,6872
32,9,2706,9444,843,7088,3506
35,19,1359,6710,22,12646,4321
55,15,965,2346,562,22198,1395
55,13,1026,2430,1432,19444,6876
57,16,847,9975,165,12924,8678
40,13,3083,8715,863,17899,6263
65,6,3281,5735,1075,8552,2830
19,3,4117,24,2371,994,869
44,6,4627,1439,1634,21181,1802
37,18,3428,4380,2110,15970,9887
48,6,767,6912,844,5556,1207
25,14,3691,4178,1938,9182,10638
35,17,1465,4591,392,19578,7300
53,11,4407,4296,1600,1933,10046
52,8,630,6704,2358,24141,372
48,11,2913,6192,35,11510,7046
67,4,178,2103,717,18927,9495
66,1,176,3275,1928,19707,3237
41,19,2964,642,70,17319,6003
41,5,4948,1334,271,15228,1364
17,4,3500,3869,1620,24717,2026
47,9,3551,5317,2391,8997,163
57,10,291,5745,636,5405,11909
63,4,4762,789,323,1373,7466
50,20,3381,6553,2030,19970,8854
28,14,3673,2840,1894,10152,7271
36,2,684,8633,2282,23084,838
29,2,2098,9323,1738,5444,11295
52,7,4504,4539,2048,5075,9776
42,4,3843,381,2427,4448,8005
26,4,2732,1774,408,20527,5438
68,20,2471,2099,714,18344,2580
20,8,3600,8558,414,23614,1501
61,15,2137,6682,2095,17610,9509
34,13,3271,4681,1299,4238,3645
31,17,4452,9571,794,6651,2558
65,6,3960,719,1249,9559,3424
37,7,3201,690,2023,15664,4651
